tier,category,fileName,current_title_ja,new_title_ja
pro,text,quadruped-trunk-rotation-training.png,,
pro,text,seated-finger-training-with-clothespin.png,,
pro,text,seated-hamstring-stretch-with-towel..png,,
pro,text,seated-hip-adduction-training.png,,
pro,text,seated-knee-extension-side-view.png,,
pro,text,seated-knee-extension.png,,
pro,text,seated-leg-raise.png,,
pro,text,seated-neck-rotation-stretch.png,,
pro,text,seated-popliteal-stretch.png,,
pro,text,seated-shoulder-flexion-with-towel.png,,
pro,text,seated-side-step-exercise.png,,
pro,text,shoulder-raise-with-bar.png,,
pro,text,shoulder-raise.png,,
pro,text,side-lying-hip-abduction.png,,
pro,text,side-plank-on-elbow.png,,
pro,text,side-step.png,,
pro,text,single-leg-bridge.png,,
pro,text,single-leg-stand.png,,
pro,text,sit-to-stand-using-chair.png,,
pro,text,sit-to-stand-with-parallel-bars.png,,
pro,text,sitting-quadriceps-stretch.png,,
pro,text,squat.png,,
pro,text,standing-armpit-stretch.png,,
pro,text,standing-hip-abduction.png,,
pro,text,standing-left-side-bend-with-towel.png,,
pro,text,standing-leg-raise.png,,
pro,text,standing-right-side-bend-with-towel.png,,
pro,text,step-exercise.png,,
pro,text,step-up-and-down.png,,
pro,text,supine-hamstring-stretch-with-towel.png,,
pro,text,towel-gather.png,,
pro,text,trunk-rotation.png,,
pro,text,wall-achilles-stretch.png,,
pro,text,wall-push-up.png,,
